T,c2,c1,c0,genP,demP     
0,0,0.12,0,0,0.14        
0.5,0,0.12,0,0,0.16      
1,0,0.12,0,0,0.131       
1.5,0,0.12,0,0,0.092     
2,0,0.12,0,0,0.137       
2.5,0,0.12,0,0,0.096     
3,0,0.12,0,0,0.118       
3.5,0,0.12,0,0,0.116     
4,0,0.12,0,0,0.089       
4.5,0,0.12,0,0,0.134     
5,0,0.12,0,0,0.095       
5.5,0,0.12,0,0,0.11      
6,0,0.12,0,0,0.133       
6.5,0,0.12,0,0.006,0.115 
7,0,0.22,0,0.038,0.114   
7.5,0,0.22,0,0.056,0.125 
8,0,0.22,0,0.088,0.074   
8.5,0,0.22,0,0.138,0.126 
9,0,0.22,0,0.231,0.101   
9.5,0,0.22,0,0.213,0.097 
10,0,0.22,0,0.138,0.127  
10.5,0,0.22,0,0.194,0.073
11,0,0.22,0,0.319,0.136  
11.5,0,0.22,0,0.381,0.092
12,0,0.22,0,0.375,0.112  
12.5,0,0.22,0,0.394,0.119
13,0,0.22,0,0.381,0.092  
13.5,0,0.22,0,0.369,0.135
14,0,0.52,0,0.344,0.078  
14.5,0,0.52,0,0.325,0.136
15,0,0.52,0,0.319,0.1    
15.5,0,0.52,0,0.281,0.116
16,0,0.52,0,0.238,0.112  
16.5,0,0.52,0,0.188,0.494
17,0,0.52,0,0.063,0.317  
17.5,0,0.52,0,0.075,0.214
18,0,0.52,0,0.025,0.256  
18.5,0,0.52,0,0.019,0.275
19,0,0.52,0,0.019,0.331  
19.5,0,0.52,0,0,0.47     
20,0,0.22,0,0,0.381      
20.5,0,0.22,0,0,0.436    
21,0,0.22,0,0,0.362      
21.5,0,0.22,0,0,0.38     
22,0,0.22,0,0,0.371      
22.5,0,0.22,0,0,0.232    
23,0,0.12,0,0,0.176      
23.5,0,0.12,0,0,0.124    
